filename,Latitude,Longitude,Depth,sample_type,Cruise,Instrument,tag1,tag2,tag3
D20240404T054051_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T060446_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T062841_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T065235_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T071629_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T074023_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T080418_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T082812_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T085206_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T091600_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T093955_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T100349_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T102743_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T105137_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T111532_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T113926_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T120320_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T122715_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T125110_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T131506_IFCB206,35.97,-75.088,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240404T133900_IFCB206,36.014,-75.02,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240404T140254_IFCB206,36.055,-74.956,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240404T142649_IFCB206,36.108,-74.898,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240404T145044_IFCB206,36.161,-74.842,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240404T151439_IFCB206,36.172,-74.825,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240404T153834_IFCB206,36.171,-74.826,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240404T160228_IFCB206,36.176,-74.828,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240404T162624_IFCB206,36.209,-74.799,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240404T165019_IFCB206,36.202,-74.804,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240404T171413_IFCB206,36.198,-74.806,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240404T173808_IFCB206,36.194,-74.809,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240404T180203_IFCB206,36.187,-74.813,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
