Filename,FileComment,triggerCount,roiCount,runTime,inhibitTime,SyringeSampleVolume,syringeSamplingSpeed,temperature,RunFastFactor,sampleNumber,runSampleFast,Datetime,lookTime,get_runSampleFast_Int,runSampleFast_Int,flowRate_mins,volumeAnalyzed
D20240418T121852_IFCB206,ar82b_underway,3397,2763,1200.9633333333334,283.4342013888889,5,20,17.917882810711838,5,52,False,2024-04-18 12:18:05,917.5291319444445,1,1,0.25,3.823038049768519
D20240418T124246_IFCB206,ar82b_underway,3411,2720,1200.8354166666666,286.6850868055556,5,20,17.91954604409858,5,53,False,2024-04-18 12:42:04,914.150329861111,1,1,0.25,3.8089597077546293
D20240418T130640_IFCB206,ar82b_underway,3410,2719,1200.9354166666667,284.4297569444444,5,20,18.13243991760129,5,54,False,2024-04-18 13:06:04,916.5056597222223,1,1,0.25,3.8187735821759263
D20240418T133034_IFCB206,ar82b_underway,3185,2605,1201.0004166666668,266.3886979166667,5,20,18.238886854352643,5,55,False,2024-04-18 13:30:03,934.6117187500001,1,1,0.25,3.894215494791667
D20240418T135429_IFCB206,ar82b_underway,3389,2800,1200.90875,284.7711458333333,5,20,18.345333791103997,5,56,False,2024-04-18 13:54:02,916.1376041666667,1,1,0.25,3.8172400173611107
D20240418T141823_IFCB206,ar82b_underway,3265,2799,1200.9183333333333,273.7945138888889,5,20,18.345333791103997,5,57,False,2024-04-18 14:18:02,927.1238194444444,1,1,0.25,3.863015914351851
D20240418T144704_IFCB206,ar82b_underway,5217,4132,1201.2918055555556,437.8342013888889,5,20,18.2372236209659,5,59,False,2024-04-18 14:47:00,763.4576041666667,1,1,0.25,3.1810733506944446
D20240418T151059_IFCB206,ar82b_underway,3380,2936,1200.9534722222222,282.0628298611111,5,20,18.2372236209659,5,60,False,2024-04-18 15:10:05,918.8906423611111,1,1,0.25,3.8287110098379626
D20240418T153454_IFCB206,ar82b_underway,3245,2799,1202.0725,270.69536458333334,5,20,18.24055008773938,5,61,False,2024-04-18 15:34:05,931.3771354166666,1,1,0.25,3.880738064236111
D20240418T155848_IFCB206,ar82b_underway,2096,1952,1201.01,174.97855902777778,5,20,18.26882505531396,5,62,False,2024-04-18 15:58:04,1026.0314409722223,1,1,0.25,4.275131004050926
D20240418T162242_IFCB206,ar82b_underway,1819,1661,1201.0393055555555,151.79083333333332,5,20,18.130776684214545,5,63,False,2024-04-18 16:22:04,1049.2484722222223,1,1,0.25,4.371868634259259
D20240418T164636_IFCB206,ar82b_underway,1167,1107,1200.9959722222222,97.40479166666668,5,20,18.130776684214545,5,64,False,2024-04-18 16:46:03,1103.5911805555556,1,1,0.25,4.598296585648148
D20240418T171031_IFCB206,ar82b_underway,2331,2259,1200.9577777777777,195.25347222222223,5,20,17.811435873960484,5,65,False,2024-04-18 17:10:03,1005.7043055555555,1,1,0.25,4.190434606481481
D20240418T173425_IFCB206,ar82b_underway,2220,2146,1200.934166666667,185.29355902777775,5,20,17.17275425345236,5,66,False,2024-04-18 17:34:02,1015.6406076388892,1,1,0.25,4.231835865162038
D20240418T175819_IFCB206,ar82b_underway,1197,1150,1200.902361111111,99.82791666666668,5,20,17.06797055008775,5,67,False,2024-04-18 17:58:01,1101.0744444444445,1,1,0.25,4.587810185185186
D20240418T182213_IFCB206,ar82b_underway,1430,1382,1201.022222222222,119.29927083333334,5,20,17.066307316701007,5,68,False,2024-04-18 18:22:01,1081.7229513888885,1,1,0.25,4.507178964120369
D20240418T184608_IFCB206,ar82b_underway,981,948,1200.9541666666669,81.70926215277778,5,20,17.06797055008775,5,69,False,2024-04-18 18:46:00,1119.2449045138892,1,1,0.25,4.663520435474538
D20240418T191002_IFCB206,ar82b_underway,1165,1121,1201.0508333333332,97.15916666666666,5,20,17.066307316701007,5,70,False,2024-04-18 19:10:00,1103.8916666666667,1,1,0.25,4.5995486111111115
D20240418T193356_IFCB206,ar82b_underway,1239,1195,1201.0280555555555,104.01932291666668,5,20,17.06797055008775,5,71,False,2024-04-18 19:33:05,1097.008732638889,1,1,0.25,4.570869719328703
D20240418T195751_IFCB206,ar82b_underway,2922,2541,1200.9147222222225,244.0777951388889,5,20,17.493758297093166,5,72,False,2024-04-18 19:57:05,956.8369270833336,1,1,0.25,3.9868205295138908
D20240418T202145_IFCB206,ar82b_underway,3074,2657,1201.252222222222,257.23741319444446,5,20,17.91954604409858,5,73,False,2024-04-18 20:21:04,944.0148090277775,1,1,0.25,3.93339503761574
D20240418T204539_IFCB206,ar82b_underway,3055,2603,1200.90625,255.7086979166667,5,20,18.13243991760129,5,74,False,2024-04-18 20:45:03,945.1975520833333,1,1,0.25,3.938323133680556
D20240418T210933_IFCB206,ar82b_underway,3063,2481,1200.9170833333333,256.3782986111111,5,20,18.345333791103997,5,75,False,2024-04-18 21:09:03,944.5387847222221,1,1,0.25,3.9355782696759247
D20240418T213327_IFCB206,ar82b_underway,3045,2462,1201.2872222222222,254.14887152777777,5,20,18.45178072785535,5,76,False,2024-04-18 21:33:02,947.1383506944444,1,1,0.25,3.946409794560185
D20240418T215722_IFCB206,ar82b_underway,3152,2518,1201.047638888889,263.84418402777777,5,20,18.55822766460671,5,77,False,2024-04-18 21:57:02,937.2034548611111,1,1,0.25,3.90501439525463
D20240418T222116_IFCB206,ar82b_underway,3079,2506,1200.9640277777778,257.37586805555554,5,20,18.55822766460671,5,78,False,2024-04-18 22:21:01,943.5881597222223,1,1,0.25,3.931617332175926
D20240418T224510_IFCB206,ar82b_underway,3189,2581,1201.3308333333334,267.4344097222222,5,20,18.55822766460671,5,79,False,2024-04-18 22:45:01,933.8964236111112,1,1,0.25,3.89123509837963
D20240418T230905_IFCB206,ar82b_underway,3127,2576,1201.78,261.6529513888889,5,20,18.55822766460671,5,80,False,2024-04-18 23:09:00,940.1270486111111,1,1,0.25,3.9171960358796296
D20240418T233259_IFCB206,ar82b_underway,3158,2594,1200.950138888889,265.3987326388889,5,20,18.55822766460671,5,81,False,2024-04-18 23:32:05,935.55140625,1,1,0.25,3.898130859375
D20240418T235653_IFCB206,ar82b_underway,3183,2637,1200.967777777778,267.1703125,5,20,18.55656443121996,5,82,False,2024-04-18 23:56:05,933.7974652777781,1,1,0.25,3.8908227719907424
D20240419T002047_IFCB206,ar82b_underway,3411,2906,1200.9294444444445,284.5312847222222,5,20,18.55656443121996,5,83,False,2024-04-19 00:20:04,916.3981597222223,1,1,0.25,3.818325665509259
D20240419T004442_IFCB206,ar82b_underway,3255,2797,1200.966111111111,271.60493055555554,5,20,18.44346456092164,5,84,False,2024-04-19 00:44:04,929.3611805555556,1,1,0.25,3.8723382523148144
D20240419T010836_IFCB206,ar82b_underway,3332,2933,1201.8397222222222,279.34680555555553,5,20,18.238886854352643,5,85,False,2024-04-19 01:08:03,922.4929166666667,1,1,0.25,3.843720486111111
D20240419T013230_IFCB206,ar82b_underway,3332,2981,1200.8918055555555,278.27765625,5,20,18.13243991760129,5,86,False,2024-04-19 01:32:03,922.6141493055554,1,1,0.25,3.8442256221064808
D20240419T015624_IFCB206,ar82b_underway,3357,3067,1200.931388888889,280.378125,5,20,18.02432974746319,5,87,False,2024-04-19 01:56:02,920.553263888889,1,1,0.25,3.8356385995370372
D20240419T022019_IFCB206,ar82b_underway,3002,2784,1200.9881944444444,250.4831076388889,5,20,17.70498893720913,5,88,False,2024-04-19 02:20:01,950.5050868055555,1,1,0.25,3.9604378616898144
D20240419T024858_IFCB206,ar82b_underway,4788,3781,1200.9719444444445,400.0217013888889,5,20,17.598542000457776,5,90,False,2024-04-19 02:48:05,800.9502430555556,1,1,0.25,3.3372926793981477
D20240419T031252_IFCB206,ar82b_underway,3305,3011,1201.0306944444444,275.86069444444445,5,20,17.492095063706422,5,91,False,2024-04-19 03:12:05,925.17,1,1,0.25,3.854875
D20240419T033646_IFCB206,ar82b_underway,3085,2838,1201.0309722222223,258.4005034722222,5,20,17.38564812695507,5,92,False,2024-04-19 03:36:04,942.6304687500001,1,1,0.25,3.9276269531250003
D20240419T040041_IFCB206,ar82b_underway,2825,2622,1200.9827777777778,235.74795138888888,5,20,17.38564812695507,5,93,False,2024-04-19 04:00:04,965.2348263888889,1,1,0.25,4.02181177662037
D20240419T042435_IFCB206,ar82b_underway,3392,3170,1200.9473611111111,283.7378298611111,5,20,17.279201190203715,5,94,False,2024-04-19 04:24:03,917.20953125,1,1,0.25,3.821706380208334
D20240419T044829_IFCB206,ar82b_underway,2009,1876,1200.8797222222222,167.84586805555554,5,20,17.280864423590458,5,95,False,2024-04-19 04:48:02,1033.0338541666667,1,1,0.25,4.304307725694445
D20240419T051223_IFCB206,ar82b_underway,1448,1406,1200.9622222222222,120.9453298611111,5,20,17.279201190203715,5,96,False,2024-04-19 05:12:02,1080.016892361111,1,1,0.25,4.500070384837963
D20240419T053618_IFCB206,ar82b_underway,1432,1392,1201.0001388888888,120.23671875,5,20,17.17275425345236,5,97,False,2024-04-19 05:36:01,1080.763420138889,1,1,0.25,4.503180917245371
D20240419T060012_IFCB206,ar82b_underway,1600,1547,1201.0358333333334,133.53175347222222,5,20,17.066307316701007,5,98,False,2024-04-19 06:00:01,1067.5040798611112,1,1,0.25,4.447933666087963
D20240419T062406_IFCB206,ar82b_underway,1530,1454,1201.0211111111112,127.61932291666666,5,20,17.066307316701007,5,99,False,2024-04-19 06:24:00,1073.4017881944444,1,1,0.25,4.472507450810185
D20240419T064800_IFCB206,ar82b_underway,1617,1561,1201.0544444444445,135.66408854166667,5,20,17.17275425345236,5,100,False,2024-04-19 06:48:00,1065.3903559027779,1,1,0.25,4.439126482928241
D20240419T071155_IFCB206,ar82b_underway,2221,2135,1200.963611111111,186.09265625,5,20,17.174417486839104,5,101,False,2024-04-19 07:11:05,1014.870954861111,1,1,0.25,4.228628978587962
D20240419T073550_IFCB206,ar82b_underway,1812,1732,1200.9798611111112,151.27041666666668,5,20,17.280864423590458,5,102,False,2024-04-19 07:35:05,1049.7094444444444,1,1,0.25,4.373789351851852
D20240419T075944_IFCB206,ar82b_underway,1616,1561,1200.9925,134.968046875,5,20,17.60020523384452,5,103,False,2024-04-19 07:59:04,1066.024453125,1,1,0.25,4.4417685546875
D20240419T082338_IFCB206,ar82b_underway,1477,1416,1201.0211111111112,123.22871527777778,5,20,17.706652170595873,5,104,False,2024-04-19 08:23:03,1077.7923958333333,1,1,0.25,4.490801649305555
D20240419T084733_IFCB206,ar82b_underway,1413,1342,1200.9625,118.01549479166668,5,20,17.91954604409858,5,105,False,2024-04-19 08:47:03,1082.9470052083334,1,1,0.25,4.512279188368056
D20240419T091127_IFCB206,ar82b_underway,1710,1647,1200.9247222222225,144.72590277777778,5,20,18.13243991760129,5,106,False,2024-04-19 09:11:02,1056.1988194444448,1,1,0.25,4.400828414351853
D20240419T093521_IFCB206,ar82b_underway,1646,1568,1200.9197222222222,137.41288194444445,5,20,18.345333791103997,5,107,False,2024-04-19 09:35:02,1063.5068402777777,1,1,0.25,4.431278501157407
D20240419T095915_IFCB206,ar82b_underway,1513,1440,1200.9104166666666,127.01630208333331,5,20,18.55822766460671,5,108,False,2024-04-19 09:59:01,1073.8941145833332,1,1,0.25,4.474558810763889
D20240419T102310_IFCB206,ar82b_underway,1475,1413,1200.933611111111,123.08894097222222,5,20,18.66966430151828,5,109,False,2024-04-19 10:23:01,1077.844670138889,1,1,0.25,4.491019458912037
D20240419T104704_IFCB206,ar82b_underway,1637,1550,1200.9719444444445,136.70979166666666,5,20,18.877568474860773,5,110,False,2024-04-19 10:47:00,1064.2621527777778,1,1,0.25,4.434425636574074
D20240419T111058_IFCB206,ar82b_underway,1427,1346,1200.973888888889,119.07403645833334,5,20,18.984015411612127,5,111,False,2024-04-19 11:10:05,1081.8998524305557,1,1,0.25,4.507916051793982
D20240419T113452_IFCB206,ar82b_underway,1432,1380,1200.9363888888888,120.219453125,5,20,19.196909285114835,5,112,False,2024-04-19 11:34:05,1080.7169357638888,1,1,0.25,4.502987232349537
D20240419T115847_IFCB206,ar82b_underway,1601,1516,1200.9081944444445,133.63371527777778,5,20,19.30335622186619,5,113,False,2024-04-19 11:58:04,1067.2744791666667,1,1,0.25,4.446976996527778
D20240419T122241_IFCB206,ar82b_underway,1531,1454,1200.9297222222222,127.70802951388887,5,20,19.456373693446253,5,114,False,2024-04-19 12:22:04,1073.2216927083332,1,1,0.25,4.471757052951388
D20240419T124635_IFCB206,ar82b_underway,1790,1716,1201.1040277777777,149.5065972222222,5,20,19.729143968871604,5,115,False,2024-04-19 12:46:03,1051.5974305555555,1,1,0.25,4.381655960648148
D20240419T131029_IFCB206,ar82b_underway,1410,1355,1200.9008333333334,117.62192708333332,5,20,19.835590905622958,5,116,False,2024-04-19 13:10:02,1083.27890625,1,1,0.25,4.513662109375001
D20240419T133424_IFCB206,ar82b_underway,1429,1377,1200.9506944444445,119.33006944444443,5,20,20.048484779125666,5,117,False,2024-04-19 13:34:02,1081.620625,1,1,0.25,4.506752604166667
D20240419T135818_IFCB206,ar82b_underway,1338,1300,1200.9061111111112,111.68538194444444,5,20,20.367825589379727,5,118,False,2024-04-19 13:58:01,1089.2207291666666,1,1,0.25,4.538419704861111
D20240419T142212_IFCB206,ar82b_underway,1453,1393,1201.0404166666667,121.99177951388889,5,20,20.47427252613108,5,119,False,2024-04-19 14:22:01,1079.048637152778,1,1,0.25,4.496035988136574
D20240419T145051_IFCB206,ar82b_underway,4360,3188,1201.8280555555557,363.6878125,5,20,20.793613336385143,5,121,False,2024-04-19 14:50:05,838.1402430555556,1,1,0.25,3.4922510127314816
D20240419T151447_IFCB206,ar82b_underway,2226,1983,1201.3216666666667,185.83616319444445,5,20,21.00650720988785,5,122,False,2024-04-19 15:14:04,1015.4855034722223,1,1,0.25,4.231189597800926
D20240419T153841_IFCB206,ar82b_underway,2431,2232,1201.0330555555556,203.04361111111112,5,20,21.21773785000382,5,123,False,2024-04-19 15:38:04,997.9894444444445,1,1,0.25,4.1582893518518524
D20240419T160235_IFCB206,ar82b_underway,3238,3041,1201.63625,270.8122916666667,5,20,21.325848020141926,5,124,False,2024-04-19 16:02:03,930.8239583333334,1,1,0.25,3.878433159722222
